허브,고객주문번호,BOX수량,CBM,우편번호,배송지ID,주소,상세주소,위도,경도,행정구역,운영단위명
1160,2012926878-20,1,0.001,413779,9125850,경기 파주시 월롱면 덕은리 파주LCD산업단지,R&D 14층 Mobile 선행구동Task,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-1
1160,2013044125-10,1,0.064,10845,9188830,경기도 파주시 월롱면 엘지로 245 A1동 2F B03~B04기둥 사이,,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주_보호구
1160,2013061085-10,1,0.033,10845,8347564,경기도 파주시 월롱면 엘지로 245 P9 10F AP4 PIC장비반,,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주_보호구
1160,2013073225-20,1,0.014,413779,9041961,경기 파주시 월롱면 덕은리 파주LCD산업단지,1007번지 A1동 2층 IT2 안전환경2팀,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012942768-50,1,0.004,413779,9041961,경기 파주시 월롱면 덕은리 파주LCD산업단지,1007번지 A1동 2층 IT2 안전환경2팀,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012945014-10,1,0.014,413779,8671103,경기도 파주시 월롱면 덕은리 파주LCD산업단지,R&D 12F IT Platform개발 2팀,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-1
1160,2012952600-240,1,0.176,413811,8605817,경기도 파주시 월롱면 능산리,엘지로 245 그린동_이승찬기장,37.82968677,126.7729319,경기 파주시,주식회사 테크로스환경서비스_LGD파주
1160,2013046377-50,1,0.014,413811,8605817,경기도 파주시 월롱면 능산리,엘지로 245 그린동_이승찬기장,37.82968677,126.7729319,경기 파주시,주식회사 테크로스환경서비스_LGD파주
1160,2013012676-30,5,0.88,10842,9155532,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 공장동 2층 시작기술반(LM) 현장사무실,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)-C4동
1160,2013076232-240,1,0.033,10842,9155532,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 공장동 2층 시작기술반(LM) 현장사무실,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)-C4동
1160,2013076232-140,3,0.042,10842,9155532,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 공장동 2층 시작기술반(LM) 현장사무실,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)-C4동
1160,2013076232-170,1,0.064,10842,9155532,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 공장동 2층 시작기술반(LM) 현장사무실,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)-C4동
1160,2013076232-30,3,0.042,10842,9155532,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 공장동 2층 시작기술반(LM) 현장사무실,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)-C4동
1160,2013076232-50,1,0.064,10842,9155532,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 공장동 2층 시작기술반(LM) 현장사무실,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)-C4동
1160,2013076232-20,1,0.033,10842,9155532,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 공장동 2층 시작기술반(LM) 현장사무실,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)-C4동
1160,2013026225-620,1,0.014,10842,8793767,경기도 파주시 문산읍 휴암로 570,LG이노텍 공장동 3층 설비자재창고,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013026225-570,1,0.014,10842,8793767,경기도 파주시 문산읍 휴암로 570,LG이노텍 공장동 3층 설비자재창고,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013026225-430,1,0.004,10842,8793767,경기도 파주시 문산읍 휴암로 570,LG이노텍 공장동 3층 설비자재창고,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013026225-380,0.222,0.003,10842,8793767,경기도 파주시 문산읍 휴암로 570,LG이노텍 공장동 3층 설비자재창고,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013026225-160,0.222,0.003,10842,8793767,경기도 파주시 문산읍 휴암로 570,LG이노텍 공장동 3층 설비자재창고,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013026225-240,0.222,0.003,10842,8793767,경기도 파주시 문산읍 휴암로 570,LG이노텍 공장동 3층 설비자재창고,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013026225-580,1,0.014,10842,8793767,경기도 파주시 문산읍 휴암로 570,LG이노텍 공장동 3층 설비자재창고,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013026225-700,1,0.033,10842,8793767,경기도 파주시 문산읍 휴암로 570,LG이노텍 공장동 3층 설비자재창고,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013026225-590,1,0.014,10842,8793767,경기도 파주시 문산읍 휴암로 570,LG이노텍 공장동 3층 설비자재창고,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013026225-370,0.222,0.003,10842,8793767,경기도 파주시 문산읍 휴암로 570,LG이노텍 공장동 3층 설비자재창고,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013005107-10,0.222,0.003,10842,8793767,경기도 파주시 문산읍 휴암로 570,LG이노텍 공장동 3층 설비자재창고,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013026225-360,0.222,0.003,10842,8793767,경기도 파주시 문산읍 휴암로 570,LG이노텍 공장동 3층 설비자재창고,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013026225-250,0.222,0.003,10842,8793767,경기도 파주시 문산읍 휴암로 570,LG이노텍 공장동 3층 설비자재창고,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013026225-740,0.222,0.003,10842,8793767,경기도 파주시 문산읍 휴암로 570,LG이노텍 공장동 3층 설비자재창고,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013026225-600,1,0.014,10842,8793767,경기도 파주시 문산읍 휴암로 570,LG이노텍 공장동 3층 설비자재창고,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013026225-180,0.222,0.003,10842,8793767,경기도 파주시 문산읍 휴암로 570,LG이노텍 공장동 3층 설비자재창고,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2012944507-10,1,0.014,10842,9131635,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 공장동 2층 시작기술반 현장사무실,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)-C4동
1160,2013053169-20,0.334,0.037,10842,8946777,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 광학솔루션안전환경팀 파주안전환경Part,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_파주통합몰
1160,2013039638-90,1,0.014,10842,8946777,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 광학솔루션안전환경팀 파주안전환경Part,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_파주통합몰
1160,2013039638-180,1,0.064,10842,8946777,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 광학솔루션안전환경팀 파주안전환경Part,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_파주통합몰
1160,2013053169-40,0.334,0.037,10842,8946777,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 광학솔루션안전환경팀 파주안전환경Part,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_파주통합몰
1160,2013039638-80,2,0.066,10842,8946777,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 광학솔루션안전환경팀 파주안전환경Part,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_파주통합몰
1160,2013039638-290,1,0.033,10842,8946777,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 광학솔루션안전환경팀 파주안전환경Part,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_파주통합몰
1160,2013039638-210,1,0.064,10842,8946777,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 광학솔루션안전환경팀 파주안전환경Part,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_파주통합몰
1160,2013053169-30,0.334,0.037,10842,8946777,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 광학솔루션안전환경팀 파주안전환경Part,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_파주통합몰
1160,2013039638-240,1,0.001,10842,8946777,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 광학솔루션안전환경팀 파주안전환경Part,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_파주통합몰
1160,2013039638-170,1,0.033,10842,8946777,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 광학솔루션안전환경팀 파주안전환경Part,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_파주통합몰
1160,2013016169-60,1,0.064,10842,9106705,경기도 파주시 문산읍 휴암로 570,lg이노텍 파주공장 사무동 2층,37.83971728,126.7823416,경기 파주시,LG이노텍 안산 R&D 캠퍼스
1160,2013016169-10,1,0.004,10842,9106705,경기도 파주시 문산읍 휴암로 570,lg이노텍 파주공장 사무동 2층,37.83971728,126.7823416,경기 파주시,LG이노텍 안산 R&D 캠퍼스
1160,2013046683-10,3,0.192,10842,8938786,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 공장동 3층 OQC 현장,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)-C4동
1160,2013045347-30,1,0.033,10842,8938786,경기도 파주시 문산읍 휴암로 570,LG이노텍 파주공장 공장동 3층 OQC 현장,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)-C4동
1160,2013041718-10,1,0.014,10842,9188135,경기도 파주시 문산읍 휴암로 570,사무동 2층 광학솔루션개발4팀,37.83971728,126.7823416,경기 파주시,LG이노텍 안산 R&D 캠퍼스
1160,2012972239-40,1,0.014,10842,8936861,경기도 파주시 문산읍 휴암로 570,LG이노텍,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013069508-20,2,0.128,10842,8936861,경기도 파주시 문산읍 휴암로 570,LG이노텍,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013069508-10,1,0.001,10842,8936861,경기도 파주시 문산읍 휴암로 570,LG이노텍,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2012972239-10,1,0.001,10842,8936861,경기도 파주시 문산읍 휴암로 570,LG이노텍,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)
1160,2013063407-10,1,0.001,10842,8878216,경기 파주시 문산읍 휴암로 570,,37.83971728,126.7823416,경기 파주시,㈜아워홈_MRO
1160,2012870762-20,1,0.014,10842,8814695,경기도 파주시 문산읍 휴암로 570,LG 이노텍 사무동 2층,37.83971728,126.7823416,경기 파주시,
1160,2012934008-20,1,0.014,10842,8778035,경기도 파주시 문산읍 휴암로 570,공장동 3층,37.83971728,126.7823416,경기 파주시,엘지이노텍(주)_OS1(구미)-C4동
1160,2013018201-100,1,0.064,10845,9177512,경기도 파주시 월롱면 엘지로 245,LG 디스플레이 A1동 3F 회의실E옆 공정개발4팀 자리,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_구미-1
1160,2013079856-10,1,0.014,10845,9208902,경기도 파주시 월롱면 엘지로 245,※LGD사외 P10 공사현장 3층 서브원 MRO사무실,37.81588522,126.7568181,경기 파주시,(주)서브원
1160,2012916706-10,2,0.128,10845,6520524,경기도 파주시 월롱면 엘지로 245,R&D동 12층 ( 기둥코드 B02 ),37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-1
1160,2012902106-40,1,0.004,10845,9016098,경기도 파주시 월롱면 엘지로 245,A1동 3층 기둥열 D01 Infra기술담당,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013041355-20,1,0.004,10845,9016098,경기도 파주시 월롱면 엘지로 245,A1동 3층 기둥열 D01 Infra기술담당,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012902106-10,1,0.004,10845,9016098,경기도 파주시 월롱면 엘지로 245,A1동 3층 기둥열 D01 Infra기술담당,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013041355-10,1,0.014,10845,9016098,경기도 파주시 월롱면 엘지로 245,A1동 3층 기둥열 D01 Infra기술담당,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013041355-40,1,0.004,10845,9016098,경기도 파주시 월롱면 엘지로 245,A1동 3층 기둥열 D01 Infra기술담당,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013041355-30,1,0.004,10845,9016098,경기도 파주시 월롱면 엘지로 245,A1동 3층 기둥열 D01 Infra기술담당,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013043714-10,1,0.014,10845,9106659,경기도 파주시 월롱면 엘지로 245,A1동 2층,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012983648-160,1,0.033,10845,9159018,경기도 파주시 월롱면 엘지로 245,P9동 2F IT FA 장비기술계,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,7000759650-30,1,0.001,10845,8681288,경기도 파주시 월롱면 엘지로 245,"파주 P9 동 8층(5,6 번 반입구 사이)",37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)설비구매_파주
1160,2013039400-10,1,0.033,10845,5641757,경기도 파주시 월롱면 엘지로 245,R&D센터 10층 OC장비기술팀,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-2
1160,2012898595-10,2,2,10845,8840048,경기도 파주시 월롱면 엘지로 245,LG 디스플레이 파주공장 M동1F Dock장,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_구미-2
1160,2013058565-60,2,0.066,10845,8875523,경기도 파주시 월롱면 엘지로 245,P9 M6 B1층 외포장 현장사무실로 갖다주세요.,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013058565-50,1,0.014,10845,8875523,경기도 파주시 월롱면 엘지로 245,P9 M6 B1층 외포장 현장사무실로 갖다주세요.,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013008737-10,1,0.064,10845,8875523,경기도 파주시 월롱면 엘지로 245,P9 M6 B1층 외포장 현장사무실로 갖다주세요.,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012974220-70,5,0.165,10845,8779494,경기도 파주시 엘지로 245,P9 북측 MR 2F 건설스막룸,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-2
1160,2013042306-70,1,0.033,10845,9188267,경기도 파주시 월롱면 엘지로 245,P7공장5층 TV LT검사장비반 사무실,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013058208-220,1,0.014,10845,8908659,경기도 파주시 월롱면 엘지로 245,"P9 1F 8번 장비반입구, CG분리실 옆 (Exa5기둥) _ 물류",37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012988685-310,1,0.004,10845,8759112,경기도 파주시 월롱면 엘지로 245,P8 6F TV FA 장비계 사무실,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012988685-330,1,0.004,10845,8759112,경기도 파주시 월롱면 엘지로 245,P8 6F TV FA 장비계 사무실,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012989402-320,1,0.033,10845,8759112,경기도 파주시 월롱면 엘지로 245,P8 6F TV FA 장비계 사무실,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012988685-10,1,0.001,10845,8759112,경기도 파주시 월롱면 엘지로 245,P8 6F TV FA 장비계 사무실,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013033037-10,6,0.198,10845,8759112,경기도 파주시 월롱면 엘지로 245,P8 6F TV FA 장비계 사무실,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013040854-60,1,0.014,10845,8869770,경기도 파주시 월롱면 엘지로 245,A1동 3층 Ex03,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013048431-10,1,0.014,10845,9190826,경기도 파주시 월롱면 엘지로 245 P7 B2F 북측 ATM Robot,실,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주_보호구
1160,2013063703-50,1,0.001,10845,8516632,경기도 파주시 월롱면 엘지로 245,R&D동 12F  IT Platform 개발1팀,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-1
1160,2013063703-30,1,0.001,10845,8516632,경기도 파주시 월롱면 엘지로 245,R&D동 12F  IT Platform 개발1팀,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-1
1160,2013078060-10,1,0.014,10845,9078342,경기도 파주시 월롱면 엘지로 245,LG디스플레이 P10 2F Mobile 종합공정담당,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012993060-20,2,0.066,10845,8204935,경기도 파주시 월롱면 엘지로 245,P7 공장 5층 TV SPT 계획보전반,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013029395-30,1,0.033,10845,8204935,경기도 파주시 월롱면 엘지로 245,P7 공장 5층 TV SPT 계획보전반,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012999626-120,2,0.066,10845,8204935,경기도 파주시 월롱면 엘지로 245,P7 공장 5층 TV SPT 계획보전반,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013008703-30,2,0.066,10845,8721023,경기도 파주시 월롱면 엘지로 245,P9 10F Mobile2 TFT 장비1계 이혜미주임,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-2
1160,2013008703-80,1,0.004,10845,8721023,경기도 파주시 월롱면 엘지로 245,P9 10F Mobile2 TFT 장비1계 이혜미주임,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-2
1160,2013008703-70,1,0.004,10845,8721023,경기도 파주시 월롱면 엘지로 245,P9 10F Mobile2 TFT 장비1계 이혜미주임,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-2
1160,2013008703-240,1,0.001,10845,8721023,경기도 파주시 월롱면 엘지로 245,P9 10F Mobile2 TFT 장비1계 이혜미주임,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-2
1160,2013008703-90,1,0.004,10845,8721023,경기도 파주시 월롱면 엘지로 245,P9 10F Mobile2 TFT 장비1계 이혜미주임,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-2
1160,2013008703-10,4,0.132,10845,8721023,경기도 파주시 월롱면 엘지로 245,P9 10F Mobile2 TFT 장비1계 이혜미주임,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-2
1160,2013044999-10,1,0.014,10845,9189257,경기도 파주시 월롱면 엘지로 245 P9 B2F 파주공조운전2반 사무실,,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주_보호구
1160,2013053244-10,1,0.033,10845,9192948,경기도 파주시 월롱면 엘지로 245 R&D 3층 시작계사무실,,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주_보호구
1160,2013068148-10,1,0.064,10845,9204259,경기도 파주시 월롱면 엘지로 245 P9 1층 Rollable Line,,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주_보호구
1160,2013068147-10,1,0.064,10845,9204259,경기도 파주시 월롱면 엘지로 245 P9 1층 Rollable Line,,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주_보호구
1160,2013068149-10,1,0.064,10845,9204259,경기도 파주시 월롱면 엘지로 245 P9 1층 Rollable Line,,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주_보호구
1160,2013004770-160,1,0.014,10845,9007164,경기도 파주시 월롱면 엘지로 245,P7 공장 5층 TV CVD 계획보전반,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013004770-40,1,0.033,10845,9007164,경기도 파주시 월롱면 엘지로 245,P7 공장 5층 TV CVD 계획보전반,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013049484-10,1,0.014,10845,9191326,경기도 파주시 월롱면 엘지로 245 UT2동 3F 파주 DI 운잔2반 근,,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주_보호구
1160,2013049483-10,1,0.014,10845,9191326,경기도 파주시 월롱면 엘지로 245 UT2동 3F 파주 DI 운잔2반 근,,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주_보호구
1160,2013058213-20,1,0.033,10845,8908664,경기도 파주시 월롱면 엘지로 245,"P9 1F 8번 장비반입구, CG분리실 옆 (Exa5기둥) _ 수리",37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012996480-20,4,0.132,10845,9166751,경기도 파주시 월롱면 엘지로 245,P8/4F_P8 TFT/CF 검사장비반,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-2
1160,2013030220-10,2,0.128,10845,8555711,경기도 파주시 월롱면 엘지로 245,P9 공장 2F OC 장비2계 교육장,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-2
1160,2013044689-50,1,0.014,10845,9012444,경기도 파주시 월롱면 엘지로 245,154kV 변전소 2층 전기운전1반 근무자실,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012880116-20,1,0.014,10845,7774844,경기도 파주시 월롱면 엘지로 245,파주 LG디스플레이 R&D동 14층 Mobile개발기획팀,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-1
1160,2012880116-30,1,0.014,10845,7774844,경기도 파주시 월롱면 엘지로 245,파주 LG디스플레이 R&D동 14층 Mobile개발기획팀,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주-1
1160,2013023381-20,3,0.099,10845,8180095,경기도 파주시 월롱면 엘지로 245,"지하1층 E/V 8,9,10호기 지수 INC해체장소 (010-8903-6386)",37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013023381-110,1,0.064,10845,8180095,경기도 파주시 월롱면 엘지로 245,"지하1층 E/V 8,9,10호기 지수 INC해체장소 (010-8903-6386)",37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013023381-60,1,0.033,10845,8180095,경기도 파주시 월롱면 엘지로 245,"지하1층 E/V 8,9,10호기 지수 INC해체장소 (010-8903-6386)",37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013023381-100,8,0.264,10845,8180095,경기도 파주시 월롱면 엘지로 245,"지하1층 E/V 8,9,10호기 지수 INC해체장소 (010-8903-6386)",37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013023381-80,1,0.033,10845,8180095,경기도 파주시 월롱면 엘지로 245,"지하1층 E/V 8,9,10호기 지수 INC해체장소 (010-8903-6386)",37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012931398-10,1,0.033,10845,8811283,경기도 파주시 월롱면 엘지로 245,DISPLAY A2동 3층 장치운영팀 C51,37.81588522,126.7568181,경기 파주시,(주)엘지씨엔에스
1160,2012675017-10,2,0.222,10845,6070599,경기도 파주시 월롱면 엘지로 245,A2동 3층 중앙 엘레베이터 앞 원가회계팀,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013042306-40,1,0.111,10845,9181442,경기도 파주시 월롱면 엘지로 245,8공장6층 tv검사장비계 사무실,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013042306-30,1,0.014,10845,9181442,경기도 파주시 월롱면 엘지로 245,8공장6층 tv검사장비계 사무실,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013042306-60,1,0.004,10845,9181442,경기도 파주시 월롱면 엘지로 245,8공장6층 tv검사장비계 사무실,37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012999377-10,1,0.111,10845,9168130,경기도 파주시 월롱면 엘지로 245,P9동 8층 Mobile2 Cell3팀(기둥열 Rx12a),37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2012913242-10,1,0.004,10845,8908647,경기도 파주시 월롱면 엘지로 245,"P9 1F 8번 장비반입구, CG분리실 옆 (Exa5기둥) _ 사무실",37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013058208-130,1,0.014,10845,8908647,경기도 파주시 월롱면 엘지로 245,"P9 1F 8번 장비반입구, CG분리실 옆 (Exa5기둥) _ 사무실",37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
1160,2013058208-180,1,0.014,10845,8908647,경기도 파주시 월롱면 엘지로 245,"P9 1F 8번 장비반입구, CG분리실 옆 (Exa5기둥) _ 사무실",37.81588522,126.7568181,경기 파주시,엘지디스플레이(주)_파주
